state,issuer,dated_date,series,corp_project,deal_amount,sale_date,first_coupon_date,first_call_date,issue_type,offering_type,security_type,tax_status,bank_qualified,moody_rating,sp_rating,fitch_rating,bond_insurance,lead_manager,paying_agent,deal_id
WI,PUBLIC FIN AUTH WIS CHARTER SCH REV,12/29/2017,2017 A-1,Doral Academy of Northern Nevada/Doral Academy of Northern Nevada,"$16,555,000.00",12/27/2017,07/15/2018,07/15/2021,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO,US BANK NA,0x001035FC99770136
WI,PUBLIC FIN AUTH WIS CHARTER SCH REV,12/29/2017,2017B-1,Doral Academy Northern Nevada/Doral Academy Northern Nevada,"$1,450,000.00",12/27/2017,07/15/2018,12/29/2017,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON,US BANK NA,0x001035FA99770130
WI,PUBLIC FIN AUTH WIS CHARTER SCH REV,12/29/2017,2017B-1,Doral Academy Northern Nevada/Doral Academy Northern Nevada,"$2,480,000.00",12/27/2017,07/15/2018,12/29/2017,Bond,Negotiated,REVENUE,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO INC,US BANK NA,0x001035A2477901B8
WI,PUBLIC FIN AUTH WIS EDL REV,01/09/2018,2018-A,Lake Norman Charter School/Lake Norman Charter School,"$37,730,000.00",01/05/2018,06/15/2018,06/15/2026,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,BBB- / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,US BANK NA,0x0010351E997A01D9
UT,UTAH ST CHARTER SCH FIN AUTH CHARTER SCH REV,12/28/2017,2017,Early Light Academy Project/Early Light Academy Project,"$16,200,000.00",12/19/2017,07/15/2018,07/15/2027,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,BB / N/A / N/A,N/A / N/A,N/A,GEORGE K BAUM AND CO,US BANK NA,0x00103545BA7401AF
GA,VALDOSTA-LOWNDES CNTY GA INDL AUTH REV,12/28/2017,2017-B,Scintilla Charter Academy Inc/Scintilla Charter Academy Inc,"$350,000.00",12/26/2017,06/15/2018,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,WILMINGTON TRUST NA,0x00103588B177016A
GA,VALDOSTA-LOWNDES CNTY GA INDL AUTH REV,12/28/2017,2017-A,Scintilla Charter Academy Inc/Scintilla Charter Academy Inc,"$9,650,000.00",12/26/2017,06/15/2018,12/15/2022,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,WILMINGTON TRUST NA,0x0010359CB077017F
CA,CALIFORNIA MUN FIN AUTH CHARTER SCH REV,02/22/2018,2018-A,River Charter Schools Project/River Charter Schools Project,"$15,325,000.00",02/07/2018,06/01/2018,06/01/2026,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,BB / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,ZIONS BANK,0x00103536EB85017C
FL,CAPITAL TR AGY FLA EDL FACS REV,01/25/2018,2018-A,Pineapple Cove Classical Academy at West Melbourne/Pineapple Cove Classical Academy at West Melbourne,"$13,580,000.00",01/23/2018,06/15/2018,06/15/2024,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,WILMINGTON TRUST NA,0x00103552807F0189
FL,CAPITAL TR AGY FLA EDL FACS REV,01/31/2018,2018-A,Seaside Community Charter School/Seaside Community Charter School,"$9,075,000.00",01/29/2018,03/15/2018,06/15/2027,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,REGIONS BANK,0x001035672F8101ED
TX,NEW HOPE CULTURAL ED FACS FIN CORP TEX ED REV,02/21/2018,2018-A,Legacy Preparatory Charter Academy/Legacy Preparatory Charter Academy,"$36,920,000.00",02/07/2018,08/15/2018,02/15/2023,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,UMB BANK NA,0x001035A6CF8401C9
AZ,PIMA CNTY ARIZ INDL DEV AUTH EDL FAC REV,01/31/2018,2018,Grande Innovation Academy Project/Grande Innovation Academy Project,"$15,565,000.00",01/29/2018,07/01/2018,07/01/2024,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,UMB BANK NA,0x001035DE2181015A
FL,CAPITAL TR AGY FLA EDL FACS REV,03/05/2018,2018,Babcock Neighborhood School Inc Project/Babcock Neighborhood School Inc Project,"$12,730,000.00",02/28/2018,08/15/2018,08/15/2028,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,REGIONS BANK,0x001035B8738C0163
WI,PUBLIC FIN AUTH WIS CHARTER SCH REV,03/12/2018,2018 B-1,Discovery Charter School Project/Discovery Charter School Project,"$125,000.00",03/07/2018,09/01/2018,04/26/2018,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO,US BANK NA,0x001035A446900156
