cusip,maturity_date,par_amount,coupon_rate,original_price,original_yield,spread,spread_interpolated,deal_id,evaluated_price,evaluated_yield,spread_to_mmd,spread_to_mmd_interpolated,priceTo,reward
04052BNY6,2061-06-15,4957114.0,6.277,95.0,6.634,528.4000000000001,,0x0010353001200531,,,,,,5090956.078000001
19645UQB3,2053-07-01,4955000.0,6.25,100.0,6.25,289.0,,0x001035F1DE3E083C,96.735245633,6.5046438337,190.5,,MATY,4955000.0
74172VAR9,2048-08-01,2830000.0,7.0,100.0,7.0,354.0,,0x001035C12EF30138,106.0275596207,3.7078219144,-79.2,,MATY,4952500.0
12008EUW4,2043-04-15,3290000.0,6.75,97.359,7.0,267.0,,0x0010352129370913,101.3632933711,6.5210821897,228.1,,PARC,4935000.0
744396JQ6,2058-06-15,2795000.0,7.0,100.0,7.0,275.5,,0x001035C2C6580970,,,,,,4891250.0
34061UGE2,2050-06-15,5570000.0,6.125,100.0,6.125,459.1,,0x00103579D23704BD,83.5514798871,7.6060722243,305.6,,MATY,4873750.0
45204FTX3,2048-01-01,4330000.0,6.375,100.0,6.375,295.5,,0x0010355A645A0746,,,,,,4871250.0
72177MQW0,2045-07-01,5550000.0,6.125,98.312,6.25,318.0,,0x00102100D2E1ABA9,99.4474794626,6.1732191811,180.3,,MATY,4856250.0
83704MDF0,2058-06-15,1615000.0,8.25,93.0,8.903,464.30000000000007,,0x001035E0B40D0975,,,,,,4845000.0
83704MDG8,2058-06-15,1615000.0,8.25,93.0,8.903,464.30000000000007,,0x001035E0B40D0975,,,,,,4845000.0
45129GDJ1,2028-07-15,3000000.0,6.86,100.0,6.86,424.0,424.7,0x001035A207E00161,,,,,,4830000.000000001
34061UCN6,2046-06-15,5520000.0,6.125,98.583,6.23,319.0,,0x0010353CD9C60006,99.3470545389,6.1804795019,176.0,,MATY,4830000.0
14054CAX7,2048-08-15,5075000.0,6.2,100.0,6.2,314.0,,0x001035B8738C0163,85.1426135723,7.5709315027,307.1,,MATY,4821250.000000001
71781XDB6,2037-11-01,3935000.0,6.47,100.0,6.47,402.0,,0x001035F19E5B0110,92.735040388,7.3773384706,381.7,379.7,MATY,4800699.999999999
19645RZ79,2046-12-15,2720000.0,7.0,100.0,7.0,472.0,,0x001035C65A8C0035,,,,,,4760000.0
447410AD3,2045-11-01,3125000.0,6.75,100.0,6.75,359.0,,0x001021009D00FA56,,,,,,4687500.0
74442EFU9,2056-06-15,1555000.0,8.25,94.0,8.89,718.0,,0x00103525DE97044D,77.9643659287,10.705,608.5,,MATY,4665000.0
744396DP4,2048-07-01,2655000.0,7.0,100.0,7.0,405.0,,0x001035AA7FEF011E,99.1424671749,7.0756849329,257.6,,MATY,4646250.0
74442EFH8,2030-06-15,2050000.0,7.5,100.0,7.5,686.2,660.0,0x001035C3FA94038B,90.8525931934,9.8919134159,734.2,734.2,MATY,4612500.0
34061UGW2,2031-06-15,1530000.0,8.25,93.0,9.314,827.4,855.4,0x0010358A2F7104F5,,,,,,4590000.0
82652UAP7,2054-06-15,4350000.0,6.3,100.0,6.3,250.0,,0x00106AA6E9AD0098,,,,,,4567499.999999999
13058TRH5,2052-07-01,5200000.0,6.125,98.309,6.25,252.0,,0x001035B8D9F506B7,96.9292663599,6.3644246537,177.4,,MATY,4550000.0
19645UTV6,2032-06-15,5175000.0,6.125,100.0,6.125,306.5,306.5,0x00106AB7C9660361,,,,,,4528125.0
546399PR1,2052-06-01,5145000.0,6.125,98.577,6.23,262.0,,0x00103527F9F1060C,95.5693155785,6.474287673,188.4,,MATY,4501875.0
14054CAY5,2053-08-15,3955000.0,6.375,100.0,6.375,331.5,,0x001035B8738C0163,84.4801988586,7.736643837,313.7,,MATY,4449375.0
13059QAQ8,2034-11-01,1425000.0,8.33,100.0,8.33,388.99999999999994,539.0,0x00106AF68DC901C9,99.8986100452,8.3426579435,525.3,523.3,MATY,4389000.0
19645UQV9,2030-07-01,2000000.0,7.43,100.0,7.43,412.0,412.0,0x001035A53420099D,,,,,,4359999.999999999
74442EKZ2,2050-06-15,2885000.0,6.75,93.0,7.35,346.0,,0x0010354BFAF2086E,,,,,,4327500.0
